Field1,Field2,Field3,Field4,Field5,Field6
53,-53.76942658,47.0156067,0.442648439,0.011813678,2019-09-19
53,-53.7748377,46.92576156,0.442648439,0.011813678,2019-09-19
53,-53.90599503,46.92938474,0.442648439,0.011813678,2019-09-19
54,-53.7748377,46.92576156,0.442608101,0.011811444,2019-09-19
54,-53.76942658,47.0156067,0.442608101,0.011811444,2019-09-19
54,-53.63807619,47.01182171,0.442608101,0.011811444,2019-09-19
54,-53.64370632,46.92198837,0.442608101,0.011811444,2019-09-19
54,-53.7748377,46.92576156,0.442608101,0.011811444,2019-09-19
55,-53.64370632,46.92198837,0.442566125,0.011809121,2019-09-19
55,-53.63807619,47.01182171,0.442566125,0.011809121,2019-09-19
55,-53.50675297,47.00788633,0.442566125,0.011809121,2019-09-19
55,-53.51260196,46.91806526,0.442566125,0.011809121,2019-09-19
55,-53.64370632,46.92198837,0.442566125,0.011809121,2019-09-19
56,-52.9884755,46.90087523,0.442331684,0.011796152,2019-09-19
56,-52.98175285,46.99064258,0.442331684,0.011796152,2019-09-19
56,-52.85058124,46.98595653,0.442331684,0.011796152,2019-09-19
56,-52.85752184,46.89620377,0.442331684,0.011796152,2019-09-19
56,-52.9884755,46.90087523,0.442331684,0.011796152,2019-09-19
57,-52.85752184,46.89620377,0.442279886,0.011793289,2019-09-19
57,-52.85058124,46.98595653,0.442279886,0.011793289,2019-09-19
57,-52.71944308,46.98112061,0.442279886,0.011793289,2019-09-19
57,-52.72660143,46.89138292,0.442279886,0.011793289,2019-09-19
57,-52.85752184,46.89620377,0.442279886,0.011793289,2019-09-19
58,-56.53218845,47.06024065,0.443550726,0.011859044,2020-09-06
58,-56.53139946,47.15022363,0.443550726,0.011859044,2020-09-06
58,-56.3995011,47.14960815,0.443550726,0.011859044,2020-09-06
58,-56.40051214,47.05962709,0.443550726,0.011859044,2020-09-06
58,-56.53218845,47.06024065,0.443550726,0.011859044,2020-09-06
59,-56.40051214,47.05962709,0.44354322,0.011858627,2020-09-06
59,-56.3995011,47.14960815,0.44354322,0.011858627,2020-09-06
59,-56.26760763,47.14884083,0.44354322,0.011858627,2020-09-06
59,-56.26884069,47.05886216,0.44354322,0.011858627,2020-09-06
59,-56.40051214,47.05962709,0.44354322,0.011858627,2020-09-06
60,-56.26884069,47.05886216,0.443534066,0.011858118,2020-09-06
60,-56.26760763,47.14884083,0.443534066,0.011858118,2020-09-06
60,-56.13572014,47.14792166,0.443534066,0.011858118,2020-09-06
60,-56.13717518,47.05794587,0.443534066,0.011858118,2020-09-06
60,-56.26884069,47.05886216,0.443534066,0.011858118,2020-09-06
61,-56.00551668,47.05687824,0.44351081,0.011856825,2020-09-06
61,-56.00383969,47.14685069,0.44351081,0.011856825,2020-09-06
61,-55.87196737,47.14562792,0.44351081,0.011856825,2020-09-06
61,-55.87386625,47.05565929,0.44351081,0.011856825,2020-09-06
61,-56.00551668,47.05687824,0.44351081,0.011856825,2020-09-06
62,-55.87386625,47.05565929,0.44349671,0.011856041,2020-09-06
62,-55.87196737,47.14562792,0.44349671,0.011856041,2020-09-06
62,-55.74010424,47.14425338,0.44349671,0.011856041,2020-09-06
62,-55.74222496,47.05428904,0.44349671,0.011856041,2020-09-06
62,-55.87386625,47.05565929,0.44349671,0.011856041,2020-09-06
63,-55.74222496,47.05428904,0.443480964,0.011855166,2020-09-06
63,-55.74010424,47.14425338,0.443480964,0.011855166,2020-09-06
63,-55.60825138,47.1427271,0.443480964,0.011855166,2020-09-06
63,-55.61059388,47.05276753,0.443480964,0.011855166,2020-09-06
63,-55.74222496,47.05428904,0.443480964,0.011855166,2020-09-06
